has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,9,1,0,1,520,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,https://pub-fca7bb32d166490ba82fc26f782c2f5d.r2.dev/www.outlook.office...,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://cloudflare-ipfs.com/ipfs/QmWoeaX35s2W6CnSgqniNtyZKpktuK84fYkub...,1
1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,12,7,16,56,0,0,1,2838,1,24,9,91,0,0,0,0,0,0,3,1,0,0,0,4,0,http://tinyurl.com/2p8mw45j,1
0,1,1,0,0,1,0,1,1,0,0,8,1,0,0,5,0,0,5,3,8,0,1,0,1,3380,0,1,7,64,0,0,1,0,0,1,8,0,0,0,0,4,0,https://freepayzone.com/?gra=f1c1d9113&transaction_id=65a6953ccdaa...,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,12,0,0,0,44,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,https://taplink.cc/att.net.data,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,208,0,1,0,6,0,0,0,0,1,0,1,0,0,0,0,3,0,https://inter-pen24.webcindario.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/nfmzlevlnwccconct.appspot....,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://firebasestorage.googleapis.com/v0/b/zimbra-af9a6.appspot.com/o...,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,9,1,0,1,520,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,https://pub-ea085c81d4294877a6b2c8c05fe930ad.r2.dev/zimbra.html...,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://psy5unz9.page.link/Rdse,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,250,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,https://dev-loadingdashboard.pantheonsite.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,250,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,https://dev-wordingpresking.pantheonsite.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,250,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,https://dev-kingdopressword.pantheonsite.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,250,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,https://dev-working-ingresarks.pantheonsite.io/...,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,250,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,https://dev-wordpressingki.pantheonsite.io/,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,5,32,1,1,0,841,1,1,0,12,0,0,0,0,0,0,5,0,0,0,0,9,0,https://risu.io/IQrfe,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,5,32,1,1,0,841,1,1,0,12,0,0,0,0,0,0,5,0,0,0,0,9,0,https://risu.io/QHD5A,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,1,0,0,117,0,1,0,3,0,0,0,0,0,0,6,0,0,0,0,1,0,https://ferrangag19.wixsite.com/loginyahooattmail...,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://yso11jxmw6ie-1323816442.cos.ap-singapore.myqcloud.com/yso11jxm...,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,208,0,1,0,6,0,0,0,0,1,0,1,0,0,0,0,3,0,https://pichinchawebb.webcindario.com/,1
1,1,1,0,0,1,1,0,1,0,0,4,3,0,40,9,0,0,3,0,2,13,0,0,0,1608,0,52,2,84,0,0,1,0,0,1,4,0,0,0,0,1,0,https://sofiashinedetailing.bg/Webmail/webmail.php?email=user@example....,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,1,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://policies-community.com/link/,1
1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,12,7,16,56,0,0,1,2838,1,24,9,91,0,0,0,0,0,0,3,1,0,0,0,4,0,http://tinyurl.com/49mpnp4u?ebz=hxi5ncOXZN,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,1,0,250,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,https://dev-deaworgerchit.pantheonsite.io/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,14,0,0,0,286,0,2,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vScri2hm5s5bRiQitojq2n...,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,14,0,0,0,286,0,2,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRmqjoZHbUF-xPtjEVB9w-...,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,http://tinyurl.com/9MJXAnPDoRDkDWmpW7zUk73eWaeuPO/...,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://tinyurl.com/9MJXAnPDoRDkDWmpW7zUk73eWaeuPO/...,1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,19,1,0,0,246,0,1,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,https://keepo.io/advancedhelpdesk,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,13,0,0,0,59,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,https://new.express.adobe.com/webpage/3nzAuyXe247i5...,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,1,0,0,117,0,1,0,3,0,0,0,0,0,0,6,0,0,0,0,1,0,https://mryanwl9.wixsite.com/yahoo,1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,19,1,0,0,246,0,1,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,https://keepo.io/attyahoo/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,19,1,0,0,246,0,1,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,https://keepo.io/attyahoo,1
